name,urn
#1 Realty Homes Inc,ca_dre:01891603
"007 Real Estate Group, Incorporated",ca_dre:02106143
0109 Corporation,ca_dre:01519276
"1 Gravity, Inc.",ca_dre:01998651
1 Realty Agency,ca_dre:02184882
"1 San Diego Realty, Inc.",ca_dre:02082656
"1 st Point Realty, Inc.",ca_dre:01959656
"1 Vision Consulting, Inc.",ca_dre:02055340
1-st Eagle Realty Inc,ca_dre:01421317
"1,000 Hills Land & Livestock, Inc.",ca_dre:01986825
1% Realty Inc.,ca_dre:01928551
1% Realty Pros Inc,ca_dre:02252462
"10&10 Real Estate Services, Inc.",ca_dre:01976745
"100 Doors Realty, Inc.",ca_dre:02227105
1000 Realty Corporation,ca_dre:01804524
"101 Property Mgmt, Inc.",ca_dre:02416416
"101 Realty, Inc.",ca_dre:02042947
1031 Exchange Group,ca_dre:01799637
1031 Properties Inc.,ca_dre:02221428
"1032 CRI, Inc.",ca_dre:01925945
10x Lifestyle Corporation,ca_dre:02084740
10X Realty,ca_dre:02206531
1100 Edgewater Inc,ca_dre:02065750
111 Capital Group Inc.,ca_dre:02123844
"11One, Inc.",ca_dre:02040934
11th House,ca_dre:02108884
121 Properties Inc,ca_dre:02199992
1460 Capital Corporation,ca_dre:01209930
15-22 Incorporated,ca_dre:02201381
1650 Veteran Corp,ca_dre:01242007
168 Realty Inc.,ca_dre:01897714
1781 Inc.,ca_dre:02194369
17th Street Capital Corp.,ca_dre:02181353
18 Doors Real Estate,ca_dre:02038087
180 Realty Services,ca_dre:02208848
"18th Tee Realty Advisors, Inc.",ca_dre:02220125
"1Advanced Appraisal, Inc.",ca_dre:01898989
1AR Inc,ca_dre:01316167
1st American Mortgage & Real Estate,ca_dre:01813002
1st American Mortgage And,ca_dre:01316951
1st American Mortgage Corporation,ca_dre:01222979
1st California Security Investments,ca_dre:01074698
"1st Capital Financial, Inc.",ca_dre:02112388
1st Choice Financial Nationwide Inc.,ca_dre:02155742
1st Choice Home Team,ca_dre:02191768
1st Choice Lending & Real Estate Inc,ca_dre:01795660
1st Choice Mortgage And Real Estate,ca_dre:01511108
1st Choice Mortgage Lending Inc,ca_dre:01516191
1st Choice Realty & Associates Inc,ca_dre:01929750
"1st Choice Realty, Inc",ca_dre:01885347
"1st Class R&L Co., Inc.",ca_dre:02148710
1st Commercial Management Group-San,ca_dre:01959998
1st Commercial Realty Group Inc,ca_dre:01237258
"1st Day Lending, Inc.",ca_dre:02126122
1st Equity,ca_dre:02203088
1ST Equity Prop Mgt & Leasing Inc,ca_dre:00914813
1st Imagine Realty Inc.,ca_dre:02106997
1st Lending Solutions Inc,ca_dre:01482431
1st London Realtors Inc,ca_dre:01230179
1ST Los Angeles Mortgage,ca_dre:01201620
1st Mortgage Advisors Inc,ca_dre:01522914
1st Nationwide Lending Inc,ca_dre:01849703
1st Nationwide Mortgage & Realty Inc,ca_dre:01519582
1st Nationwide Mortgage Corporation,ca_dre:01517084
1st Option Home Loans Inc.,ca_dre:01527481
1st Paramount Properties,ca_dre:01967097
1st Place Realty,ca_dre:01907358
1st Point Lending Inc,ca_dre:01847023
"1st Priority One Real Estate, Inc.",ca_dre:01955105
"1st Private Capital, Inc.",ca_dre:02254322
1st Property Real Estate Inc,ca_dre:02065740
"1st R.E Services, Inc.",ca_dre:01523089
"1st Rate Rentals and Real Estate, Inc.",ca_dre:01906433
1st Realty & Investment Inc,ca_dre:01477184
1st Realty Funding Inc,ca_dre:01206024
1st San Francisco Holdings Inc,ca_dre:01357700
1st Solution Inc,ca_dre:02439284
1st United Realty & Mortgage Inc,ca_dre:01793350
"1st Veteran Mortgage, Inc.",ca_dre:01527373
"2 Abels, Inc.",ca_dre:02001747
"20/20 Realtors, Inc.",ca_dre:02069948
2000R Corporation,ca_dre:01244899
"20091207 and Associates, Inc.",ca_dre:02116813
"2014, inc",ca_dre:01959981
203K Mortgage Corporation,ca_dre:01858496
21st Century Property Managament,ca_dre:02198274
222 Commercial Group,ca_dre:01147716
24 Flex Inc.,ca_dre:02140447
"24 Hour Property Management, Inc.",ca_dre:02077964
24 Hour Real Estate,ca_dre:01220332
